year,month,tweets,keywords,date,All
2018,11,5871,Chink,2018-11-01,Specific Terms
2018,12,8135,Chink,2018-12-01,Specific Terms
2019,1,8229,Chink,2019-01-01,Specific Terms
2019,2,12089,Chink,2019-02-01,Specific Terms
2019,3,33187,Chink,2019-03-01,Specific Terms
2019,4,7126,Chink,2019-04-01,Specific Terms
2019,5,7977,Chink,2019-05-01,Specific Terms
2019,6,7116,Chink,2019-06-01,Specific Terms
2019,7,8098,Chink,2019-07-01,Specific Terms
2019,8,10535,Chink,2019-08-01,Specific Terms
2019,9,12422,Chink,2019-09-01,Specific Terms
2019,10,9209,Chink,2019-10-01,Specific Terms
2019,11,9442,Chink,2019-11-01,Specific Terms
2019,12,9446,Chink,2019-12-01,Specific Terms
2020,1,9988,Chink,2020-01-01,Specific Terms
2020,2,7837,Chink,2020-02-01,Specific Terms
2020,3,15192,Chink,2020-03-01,Specific Terms
