Headspace UserId,Pack Category,Pack Name,Session Name,Completion Date,Completion Platform
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-04-15 01:43:39,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-04-15 14:53:33,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 16,2018-04-16 22:38:31,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 9,2018-04-17 13:37:07,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 19,2018-04-19 00:35:06,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-19 04:29:35,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-20 04:31:37,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 20,2018-04-20 19:57:08,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,For the Weekend,For the Weekend,2018-04-21 16:28:52,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 23,2018-04-23 00:33:04,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-24 04:27:47,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-25 04:08:10,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-04-26 04:22:15,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Apr 26,2018-04-26 12:23:19,ANDROID
HSUSER_RQZSRPKAAWOWY30R,MINIS,Refresh,Refresh,2018-04-26 23:47:55,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Interviews,Interviews,2018-04-28 03:01:46,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-04-29 00:39:12,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-04-30 02:16:30,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Distractions,Session 10,2018-04-30 12:49:32,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 2,2018-05-02 03:24:56,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Prioritization,Session 1,2018-05-02 14:17:37,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 3,2018-05-03 23:59:24,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 5,2018-05-05 03:01:04,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Vacation,Vacation,2018-05-05 13:44:51,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 7,2018-05-07 04:04:20,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Prioritization,Session 2,2018-05-07 13:34:33,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Fear of Flying,Fear of Flying,2018-05-09 02:01:18,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 9,2018-05-09 15:28:06,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-05-11 07:18:45,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-05-12 06:24:14,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-05-13 06:30:31,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-05-14 03:48:53,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Recovery,Recovery,2018-05-15 03:13:31,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Losing Your Temper,Losing Your Temper,2018-05-16 04:23:26,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 17,2018-05-17 03:52:51,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Prioritization,Session 3,2018-05-17 12:43:37,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Waking Up,Waking Up,2018-05-18 12:33:53,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Frustrated,Frustrated,2018-05-20 04:45:12,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Frustrated,Frustrated,2018-05-20 15:25:34,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Prioritization,Session 4,2018-05-21 13:08:17,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Under the Weather,Under the Weather,2018-05-22 15:31:51,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 23,2018-05-23 11:25:17,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Under the Weather,Under the Weather,2018-05-24 15:04:59,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-05-25 03:50:27,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,For the Weekend,For the Weekend,2018-05-26 03:44:46,IOS
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,For the Weekend,For the Weekend,2018-05-26 20:23:55,IOS
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,For the Weekend,For the Weekend,2018-05-27 20:33:04,IOS
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 29,2018-05-29 03:04:48,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,May 30,2018-05-30 05:27:59,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Prioritization,Session 5,2018-05-30 14:06:51,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-06-01 04:26:40,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Prioritization,Session 6,2018-06-01 13:21:44,DESKTOP
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Jun 2,2018-06-02 16:17:32,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Jun 4,2018-06-04 03:03:01,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-06-05 04:37:52,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Frustrated,Frustrated,2018-06-05 15:05:24,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Jun 7,2018-06-07 03:49:06,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-06-08 04:57:47,ANDROID
HSUSER_RQZSRPKAAWOWY30R,MINIS,Unwind,Unwind,2018-06-09 04:59:13,ANDROID
HSUSER_RQZSRPKAAWOWY30R,EVERYDAY_HEADSPACE,Everyday Headspace,Jun 9,2018-06-09 17:05:34,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,For the Weekend,For the Weekend,2018-06-10 16:49:21,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Falling Back to Sleep,Falling Back to Sleep,2018-06-11 08:34:17,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-06-12 03:59:23,ANDROID
HSUSER_RQZSRPKAAWOWY30R,PACK_GROUP,Prioritization,Session 7,2018-06-12 12:20:26,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Waking Up,Waking Up,2018-06-13 12:11:11,ANDROID
HSUSER_RQZSRPKAAWOWY30R,DISCOVER_SINGLES,Sleeping,Sleeping,2018-06-15 04:05:07,ANDROID
