"","firm_name","wikipedia"
"1927","MEDCO HEALTH SOLUTIONS","https://en.wikipedia.org/wiki/Medco_Health_Solutions"
"1928","EPIQ SYSTEMS",
"1929","WEBEX COMMUNICATIONS","https://en.wikipedia.org/wiki/Webex"
"1930","REWARDS NETWORKS",
"1931","LEXINGTON REALTY TRUST",
"1932","INTEGER HOLDINGS",
"1933","COMMONWLTH TELE ENTER",
"1934","JETBLUE AIRWAYS","https://en.wikipedia.org/wiki/JetBlue"
"1935","RENT-A-CENTER",
"1936","HIGHWOODS PROPERTIES",
"1937","BOYD GAMING","https://en.wikipedia.org/wiki/Boyd_Gaming"
"1938","UMPQUA HOLDINGS","https://en.wikipedia.org/wiki/Umpqua_Holdings_Corporation"
"1939","MANTECH INTERNATIONAL","https://en.wikipedia.org/wiki/ManTech_International"
"1940","GUITAR CENTER","https://en.wikipedia.org/wiki/Guitar_Center"
"1941","UNITED SURGICAL PRTNRS","https://en.wikipedia.org/wiki/United_Surgical_Partners_International"
"1942","MOOG INC","https://en.wikipedia.org/wiki/Moog_Inc."
"1943","GOLD BANC",
"1944","INTRADO INC","https://en.wikipedia.org/wiki/Intrado"
"1945","PIPER JAFFRAY COS","https://en.wikipedia.org/wiki/Piper_Jaffray"
"1946","MERITAGE HOMES","https://en.wikipedia.org/wiki/Meritage_Homes_Corporation"
"1947","COGNIZANT TECH SOLUTIONS","https://en.wikipedia.org/wiki/Cognizant"
"1948","IMMUCOR INC",
"1949","NATIONAL RETAIL PROPERTIES","https://en.wikipedia.org/wiki/National_Retail_Properties"
"1950","DAKTRONICS INC","https://en.wikipedia.org/wiki/Daktronics"
"1951","SLEEP NUMBER CORPORATION","https://en.wikipedia.org/wiki/Sleep_Number"
"1952","MERIT MEDICAL SYSTEMS",
"1953","CAREMARK RX",
"1954","HEADWATERS INC","https://en.wikipedia.org/wiki/Headwaters_Incorporated"
"1955","STERLING FINANCIAL CORP","https://en.wikipedia.org/wiki/Sterling_Financial_Corporation"
"1956","BIOLASE INC",
"1957","LITTELFUSE INC","https://en.wikipedia.org/wiki/Littelfuse"
"1958","MULTIMEDIA GAMES HOLDING",
"1959","HIBBETT SPORTS","https://en.wikipedia.org/wiki/Hibbett_Sports"
"1960","LIVANOVA PLC","https://en.wikipedia.org/wiki/LivaNova"
"1961","SCANSOURCE INC","https://en.wikipedia.org/wiki/ScanSource"
"1962","HOSPIRA INC","https://en.wikipedia.org/wiki/Hospira"
"1963","PROASSURANCE CORP","https://en.wikipedia.org/wiki/ProAssurance"
"1964","FREEPORT MCMRN OIL&GAS","https://en.wikipedia.org/wiki/Freeport-McMoRan"
"1965","WORLD ACCEPTANCE CORP",
"1966","SPECTRUM BRANDS HOLDINGS","https://en.wikipedia.org/wiki/Spectrum_Brands"
"1967","EPR PROPERTIES","https://en.wikipedia.org/wiki/EPR_Properties"
"1968","UTSTARCOM HOLDINGS","https://en.wikipedia.org/wiki/UTStarcom"
"1969","SANDERSON FARMS","https://en.wikipedia.org/wiki/Sanderson_Farms"
"1970","LABONE INC",
"1971","ALLIANCE DATA SYSTEMS","https://en.wikipedia.org/wiki/Alliance_Data"
"1972","DIGITAL INSIGHT","https://en.wikipedia.org/wiki/Digital_Insight"
"1973","BBX CAPITAL","https://en.wikipedia.org/wiki/BBX_Capital_Corporation"
"1974","AIRTRAN HOLDINGS","https://en.wikipedia.org/wiki/AirTran_Holdings"
"1975","VIAD CORP","https://en.wikipedia.org/wiki/Viad"
"1976","ARO LIQUIDATION",
"1977","LIFE STORAGE","https://en.wikipedia.org/wiki/Life_Storage"
"1978","VERTRO INC",
"1979","APPLIED SIGNAL TECHNOLOGY","https://en.wikipedia.org/wiki/Applied_Signal_Technology"
"1980","PRIVATEBANCORP INC","https://en.wikipedia.org/wiki/CIBC_Bank_USA"
"1981","BRADLEY PHARMACEUTICL","https://en.wikipedia.org/wiki/Bradley_Pharmaceuticals"
"1982","FOOT LOCKER","https://en.wikipedia.org/wiki/Foot_Locker"
"1983","FISHER SCIENTIFIC INTERNATIONAL","https://en.wikipedia.org/wiki/Fisher_Scientific"
"1984","DJO INC","https://en.wikipedia.org/wiki/DJO_Global"
